Plan,Starter,Professional,Enterprise
Precio Mensual,29,59,149
Precio Anual,26,53,134
Pacientes,50,200,Unlimited
Almacenamiento GB,1,5,50
Sesiones,Unlimited,Unlimited,Unlimited
IA Resúmenes,No,Yes,Yes
Reportes Avanzados,No,Yes,Yes
Google Calendar,No,Yes,Yes
Gestión Avanzada Clínicas,Yes,Yes,Yes
Gestión Avanzada Notas,Yes,Yes,Yes
HIPAA Compliance,Yes,Yes,Yes
Soporte,Email,Priority,Priority
Free Trial Days,14,0,0
Most Popular,No,Yes,No
Target Audience,Growing Psychologists,Established Psychologists,Large Clinics Teams
Distribution Expected %,30,55,15
Revenue per User/Month,29,59,149
Revenue per User/Year,312,636,1608
Annual Discount %,10,10,10
Storage Cost per User/Month,2.50,12.50,125.00
Net Revenue per User/Month,26.50,46.50,24.00
Net Revenue per User/Year,286.20,502.20,259.20
Break Even Users,3,2,1
ROI at 10 Users,2650,4650,2400
ROI at 25 Users,6625,11625,6000
ROI at 50 Users,13250,23250,12000
ROI at 100 Users,26500,46500,24000
Total Revenue 100 Users,2900,5900,14900
Total Costs 100 Users,140,140,140
Net Profit 100 Users,2760,5760,14860
Total Net Profit 100 Users,23380,23380,23380
Profit Margin %,95.2,97.6,99.7